,,,Goalies,,,,,,,,,
Darcy Kuemper,LAK,33,13,14,3,3.3,103,940,837,.890,1,"1,867"
John Gibson,ANA,46,13,27,2,3.6,151,"1,343","1,192",.888,0,"2,561"
Frederik Andersen,CAR,16,13,2,0,1.9,28,410,382,.932,3,913
David Rittich,LAK,24,13,6,3,2.2,49,621,572,.921,3,"1,365"
Karel Vejmelka,UTA,38,13,19,2,3.4,114,"1,089",975,.895,1,"2,040"
Antti Raanta,FA,24,12,7,2,3.0,63,493,430,.872,1,"1,265"
Jake Allen,NJD,34,12,18,4,3.5,114,"1,087",973,.895,0,"1,987"
Calvin Pickard,EDM,23,12,7,1,2.5,53,581,528,.909,1,"1,296"
Jonas Johansson,TBL,26,12,7,5,3.4,83,752,669,.890,2,"1,477"
Carter Hart,FA,26,12,9,3,2.8,68,727,659,.906,1,"1,455"
Joseph Woll,TOR,25,12,11,1,3.0,72,772,700,.907,0,"1,472"
Casey DeSmith,DAL,29,12,9,6,2.9,80,759,679,.895,1,"1,663"
Kevin Lankinen,FA,24,11,6,0,2.8,56,610,554,.908,1,"1,191"
James Reimer,BUF,25,11,8,2,3.1,70,727,657,.904,2,"1,352"
Martin Jones,FA,22,11,8,1,2.9,56,574,518,.902,2,"1,170"
Mackenzie Blackwood,SJS,44,10,25,4,3.5,140,"1,383","1,243",.899,2,"2,437"
Devon Levi,BUF,23,10,8,2,3.1,67,666,599,.899,0,"1,295"
Nico Daws,NJD,21,9,11,0,3.2,60,568,508,.894,0,"1,144"
Ville Husso,DET,19,9,5,2,3.6,60,556,496,.892,0,"1,013"
Dan Vladar,CGY,20,8,9,2,3.6,68,574,506,.882,0,"1,129"
Cayden Primeau,MTL,23,8,9,4,3.0,66,731,665,.910,2,"1,325"
Daniil Tarasov,CBJ,24,8,11,3,3.2,73,796,723,.908,0,"1,376"
Justus Annunen,COL,14,8,4,1,2.3,30,414,384,.928,2,801
Kaapo Kahkonen,WPG,37,7,24,3,3.7,116,"1,139","1,023",.898,1,"1,914"
Spencer Martin,CAR,19,7,9,2,3.3,59,533,474,.889,0,"1,072"
Dustin Wolf,CGY,17,7,7,1,3.2,50,467,417,.893,0,951
Arvid Soderblom,CHI,32,5,22,2,3.9,114,942,828,.879,0,"1,744"
Akira Schmid,VGK,19,5,9,1,3.2,48,457,409,.895,0,914
Ivan Prosvetov,FA,11,4,3,1,3.2,26,248,222,.895,0,494
Pheonix Copley,LAK,8,4,1,2,3.2,23,177,154,.870,1,436
Arturs Silovs,VAN,4,3,0,1,2.5,10,84,74,.881,0,243
Matt Tomkins,TBL,6,3,2,1,3.4,20,185,165,.892,0,360
Jet Greaves,CBJ,9,3,6,0,3.5,30,327,297,.908,0,516
Hunter Shepard,WSH,4,2,1,1,3.2,13,123,110,.894,0,245
Jesper Wallstedt,MIN,3,2,1,0,3.0,9,87,78,.897,1,179
Devin Cooley,CGY,6,2,3,1,5.0,25,192,167,.870,0,301
Eric Comrie,WPG,10,2,7,0,3.7,32,254,222,.874,0,520
Cal Petersen,PHI,5,2,2,0,3.9,18,132,114,.864,0,277
Felix Sandstrom,BUF,5,1,2,0,3.9,17,96,79,.823,0,263
Chris Driedger,FLA,2,1,1,0,2.5,5,60,55,.917,0,120
Louis Domingue,NYR,1,1,0,0,1.0,1,26,25,.962,0,60
Magnus Hellberg,DAL,3,1,0,0,2.5,5,64,59,.922,0,120
Jack Campbell,DET,5,1,4,0,4.5,20,157,137,.873,0,267
Magnus Chrona,NSH,9,1,6,1,4.8,37,262,225,.859,0,471
Jiri Patera,VAN,6,1,3,1,4.0,21,196,175,.893,0,317
Yaroslav Askarov,SJS,2,1,0,0,1.5,2,35,33,.943,0,82
Mads Sogaard,OTT,6,1,3,0,4.1,19,135,116,.859,0,282
Matt Murray,NSH,1,1,0,0,0.0,0,23,23,1.000,1,60
Yaniv Perets,CAR,1,0,0,0,0.0,0,1,1,1.000,0,13
Georgi Romanov,SJS,2,0,0,0,1.0,1,30,29,.967,0,59
Ivan Fedotov,PHI,3,0,1,1,5.0,10,53,43,.811,0,121
Michael Hutchinson,NJD,1,0,1,0,3.2,3,36,33,.917,0,58
Malcolm Subban,FA,1,0,1,0,3.0,3,35,32,.914,0,60
Matt Villalta,UTA,2,0,1,0,4.2,5,29,24,.828,0,72
Ken Appleby,FA,1,0,0,0,6.0,2,8,6,.750,0,20
